,SEASON_ID,PLAYER_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,NAME
0,2019-20,203507,0,1610612749,MIL,25.0,63,63.0,1917.0,685,1238,0.5529999999999999,89.0,293.0,0.304,398,629,0.633,140.0,716.0,856,354,61.0,66.0,230.0,195,1857,Giannis Antetokounmpo
1,2018-19,203507,0,1610612749,MIL,24.0,72,72.0,2358.0,721,1247,0.578,52.0,203.0,0.256,500,686,0.7290000000000001,159.0,739.0,898,424,92.0,110.0,268.0,232,1994,Giannis Antetokounmpo
2,2017-18,201935,0,1610612745,HOU,28.0,72,72.0,2551.0,651,1449,0.449,265.0,722.0,0.3670000000000001,624,727,0.858,41.0,348.0,389,630,126.0,50.0,315.0,169,2191,James Harden
3,2016-17,201566,0,1610612760,OKC,28.0,81,81.0,2802.0,824,1941,0.425,200.0,583.0,0.34299999999999997,710,840,0.845,137.0,727.0,864,840,132.0,31.0,438.0,190,2558,Russell Westbrook
4,2015-16,201939,0,1610612744,GSW,28.0,79,79.0,2700.0,805,1598,0.504,402.0,886.0,0.45399999999999996,363,400,0.9079999999999999,68.0,362.0,430,527,169.0,15.0,262.0,161,2375,Stephen Curry
5,2014-15,201939,0,1610612744,GSW,27.0,80,80.0,2613.0,653,1341,0.48700000000000004,286.0,646.0,0.44299999999999995,308,337,0.914,56.0,285.0,341,619,163.0,16.0,249.0,158,1900,Stephen Curry
6,2013-14,201142,0,1610612760,OKC,25.0,81,81.0,3122.0,849,1688,0.503,192.0,491.0,0.391,703,805,0.873,58.0,540.0,598,445,103.0,59.0,285.0,174,2593,Kevin Durant
7,2012-13,2544,0,1610612748,MIA,28.0,76,76.0,2877.0,765,1354,0.565,103.0,254.0,0.406,403,535,0.753,97.0,513.0,610,551,129.0,67.0,226.0,110,2036,LeBron James
8,2011-12,2544,0,1610612748,MIA,27.0,62,62.0,2326.0,621,1169,0.531,54.0,149.0,0.36200000000000004,387,502,0.7709999999999999,94.0,398.0,492,387,115.0,50.0,213.0,96,1683,LeBron James
9,2010-11,201565,0,1610612741,CHI,22.0,81,81.0,3026.0,711,1597,0.445,128.0,385.0,0.332,476,555,0.858,81.0,249.0,330,623,85.0,51.0,278.0,136,2026,Derrick Rose
10,2009-10,2544,0,1610612739,CLE,25.0,76,76.0,2966.0,768,1528,0.503,129.0,387.0,0.33299999999999996,593,773,0.767,71.0,483.0,554,651,125.0,77.0,261.0,119,2258,LeBron James
11,2008-09,2544,0,1610612739,CLE,24.0,81,81.0,3054.0,789,1613,0.489,132.0,384.0,0.344,594,762,0.78,106.0,507.0,613,587,137.0,93.0,241.0,139,2304,LeBron James
12,2007-08,977,0,1610612747,LAL,29.0,82,82.0,3192.0,775,1690,0.45899999999999996,150.0,415.0,0.361,623,742,0.84,94.0,423.0,517,441,151.0,40.0,257.0,227,2323,Kobe Bryant
